id,label,kind,region,notes,parents
ashtanga_vinyasa_yoga,Ashtanga vinyasa yoga,practice,South Asia / global,,somatics_yoga:contains
assisted_stretching,Assisted stretching,practice,Global,,healing_bodywork:contains
association_football,Association football,practice,Global,,sport_ball_team:contains
atilogwu,Atilogwu,practice,Africa,,dance_african:contains
atlatl_throwing,Atlatl throwing,practice,Global,,occupational_hunt:contains
augmented_reality_walking_games,Augmented-reality walking games,practice,Global,,digital_exergaming:contains
australian_rules_football,Australian rules football,practice,Global,,sport_ball_team:contains
authentic_movement,Authentic Movement,practice,Western / global,,somatics_western:contains
authentic_movement_2,Authentic Movement,practice,Global,,play_improv:contains
babywearing,Babywearing,practice,Global,,occupational_domestic:contains
bachata,Bachata,practice,Global,,dance_ballroom:contains
backpacking,Backpacking,practice,Global,,outdoor_wilderness:contains
backstroke,Backstroke,practice,Global,,aquatic_swim:contains
backward_walking,Backward walking,practice,Global,,locomotion_bipedal:contains
badminton,Badminton,practice,Global,,sport_net_wall:contains
baduanjin,Baduanjin,practice,China / global,,somatics_chinese:contains
baguazhang,Baguazhang,practice,Eurasia,,combat_internal:contains
bajiquan,Bajiquan,practice,Global,,combat_regional:contains
balinese_dance,Balinese dance,practice,Southeast Asia,,dance_se_asia:contains
balkan_circle_dance,Balkan circle dance,practice,Europe,,dance_europe_folk:contains
ballet,Ballet,practice,Global,,dance_stage:contains
bando,Bando,practice,Global,,combat_regional:contains
banshay,Banshay,practice,Global,,combat_regional:contains
barbell_training,Barbell training,practice,Global,,fitness_resistance:contains
bare_knuckle_boxing,Bare-knuckle boxing,practice,Global,,combat_striking:contains
barefoot_running,Barefoot running,practice,Global,,locomotion_bipedal:contains
baris,Baris,practice,Southeast Asia,,dance_se_asia:contains
barn_dance,Barn dance,practice,Europe,,dance_europe_folk:contains
bartitsu,Bartitsu,practice,Global,,combat_regional:contains
base_jumping,BASE jumping,practice,Global,,outdoor_air:contains
baseball,Baseball,practice,Global,,sport_bat_ball:contains
basketball,Basketball,practice,Global,,sport_ball_team:contains
basque_pelota,Basque pelota,practice,Global,,sport_net_wall:contains
bata_dance,Bata dance,practice,Africa,,dance_african:contains
beach_soccer,Beach soccer,practice,Global,,sport_ball_team:contains
beach_volleyball,Beach volleyball,practice,Global,,sport_net_wall:contains
belly_dance_raqs_sharqi,Belly dance / raqs sharqi,practice,Middle East / North Africa,,dance_middle_east:contains
bhangra,Bhangra,practice,South Asia,,dance_south_asia:contains
bharata_derived_thai_classical_dance,Bharata-derived Thai classical dance,practice,Southeast Asia,,dance_se_asia:contains
bharatanatyam,Bharatanatyam,practice,South Asia,,dance_south_asia:contains | ritual_devotional:cross-link | performance_theatre:cross-link
biathlon,Biathlon,practice,Cold climates,,sport_winter:contains
bike_trials,Bike trials,practice,Global,,sport_wheeled:contains
bikram_hot_yoga,Bikram / hot yoga,practice,South Asia / global,,somatics_yoga:contains
billiards,Billiards,practice,Global,,sport_precision:contains
biofeedback_movement_training,Biofeedback movement training,practice,Global,,digital_robotics:contains
biomechanics_of_meyerhold,Biomechanics of Meyerhold,practice,Global,,performance_theatre:contains
blacksmithing_movement,Blacksmithing movement,practice,Global,,occupational_craft:contains
blind_football,Blind football,practice,Global,,healing_adaptive:contains
blood_flow_restriction_training,Blood-flow restriction training,practice,Global,,fitness_resistance:contains
bmx_freestyle,BMX freestyle,practice,Global,,sport_wheeled:contains
bmx_racing,BMX racing,practice,Global,,sport_wheeled:contains
boatbuilding_movement,Boatbuilding movement,practice,Global,,occupational_craft:contains
bobsleigh,Bobsleigh,practice,Cold climates,,sport_winter:contains
bocce,Bocce,practice,Global,,sport_precision:contains
boccia,Boccia,practice,Global,,healing_adaptive:contains
body_mind_centering,Body-Mind Centering,practice,Western / global,,somatics_western:contains
bodyboarding,Bodyboarding,practice,Global,,aquatic_boards:contains
bodybuilding,Bodybuilding,practice,Global,,fitness_resistance:contains
bodysurfing,Bodysurfing,practice,Global,,aquatic_boards:contains
bojutsu,Bojutsu,practice,Global,,combat_weapon:contains
bokator,Bokator,practice,Global,,combat_regional:contains
bokator_striking,Bokator striking,practice,Global,,combat_striking:contains
bolero,Bolero,practice,Global,,dance_ballroom:contains
bolojo,Bolojo,practice,Africa,,dance_african:contains
bomba,Bomba,practice,African diaspora,,dance_afrodiasporic:contains
bon_odori,Bon odori,practice,East Asia,,dance_east_asia:contains
boot_camp_fitness,Boot camp fitness,practice,Global,,fitness_group:contains
borborbor,Borborbor,practice,Africa,,dance_african:contains
bossaball,Bossaball,practice,Global,,sport_net_wall:contains
bossaball_2,Bossaball,practice,Global,,sport_traditional:contains
bouldering,Bouldering,practice,Global,,locomotion_climbing:contains
boules,Boules,practice,Global,,sport_precision:contains
bourree,Bourrée,practice,Europe,,dance_europe_folk:contains
bow_hunting_movement,Bow hunting movement,practice,Global,,occupational_hunt:contains
bowling,Bowling,practice,Global,,sport_precision:contains
boxing,Boxing,practice,Global,,combat_striking:contains
branle,Branle,practice,Europe,,dance_europe_folk:contains
brannboll,Brännboll,practice,Global,,sport_bat_ball:contains
brazilian_jiu_jitsu,Brazilian jiu-jitsu,practice,Global,,combat_grappling:contains
breaking,Breaking,practice,Global urban,,dance_urban:contains | acro_gymnastics:cross-link | sport_wheeled:cross-link
breaststroke,Breaststroke,practice,Global,,aquatic_swim:contains
breathwork_mobility_flows,Breathwork mobility flows,practice,Global,,somatics_breath:contains
bricklaying_movement,Bricklaying movement,practice,Global,,occupational_craft:contains
brooklyn_uprock,Brooklyn uprock,practice,Global urban,,dance_urban:contains
buddhist_walking_meditation,Buddhist walking meditation,practice,Global,,ritual_devotional:contains
bugaku,Bugaku,practice,East Asia,,dance_east_asia:contains
buildering,Buildering,practice,Global,,locomotion_climbing:contains
buildering_2,Buildering,practice,Global,,locomotion_parkour:contains
bungee_jumping,Bungee jumping,practice,Global,,outdoor_air:contains
bunraku_puppetry_movement,Bunraku puppetry movement,practice,Global,,performance_puppetry:contains
bushcraft_movement,Bushcraft movement,practice,Global,,outdoor_wilderness:contains
bushwalking,Bushwalking,practice,Global,,outdoor_wilderness:contains
buteyko_movement_integration,Buteyko movement integration,practice,Global,,somatics_breath:contains
butterfly,Butterfly,practice,Global,,aquatic_swim:contains
buzkashi,Buzkashi,practice,Global,,sport_traditional:contains | animal_equestrian:cross-link
buzkashi_riding,Buzkashi riding,practice,Global,,animal_equestrian:contains
bwa_mask_dance,Bwa mask dance,practice,Africa,,dance_african:contains
caber_toss,Caber toss,practice,Global,,sport_traditional:contains
calcio_storico,Calcio storico,practice,Global,,sport_traditional:contains
calisthenics,Calisthenics,practice,Global,,fitness_resistance:contains
calypso_dance,Calypso dance,practice,African diaspora,,dance_afrodiasporic:contains
camel_racing,Camel racing,practice,Global,,animal_other:contains
camel_wrestling_handling,Camel wrestling handling,practice,Global,,animal_other:contains
canadian_football,Canadian football,practice,Global,,sport_ball_team:contains
candomble_dance,Candomblé dance,practice,Global,,ritual_trance:contains
canicross,Canicross,practice,Global,,animal_other:contains
canne_de_combat,Canne de combat,practice,Global,,combat_weapon:contains
canoe_slalom,Canoe slalom,practice,Global,,aquatic_boats:contains
canoe_sprint,Canoe sprint,practice,Global,,aquatic_boats:contains
canyoneering,Canyoneering,practice,Global,,outdoor_wilderness:contains
canyoning_movement,Canyoning movement,practice,Global,,locomotion_climbing:contains
capoeira,Capoeira,practice,Global,,combat_regional:contains | dance_afrodiasporic:cross-link | ritual_procession:cross-link | play_improv:cross-link | acro_gymnastics:cross-link
capoeira_roda_ritual,Capoeira roda ritual,practice,Global,,ritual_procession:contains
capoeira_striking,Capoeira striking,practice,Global,,combat_striking:contains
capture_the_flag,Capture the flag,practice,Global,,play_child:contains
cardiac_rehabilitation_exercise,Cardiac rehabilitation exercise,practice,Global,,healing_rehab:contains
carnival_parade_movement,Carnival parade movement,practice,Global,,ritual_procession:contains
carpentry_movement,Carpentry movement,practice,Global,,occupational_craft:contains
carrom,Carrom,practice,Global,,sport_precision:contains
casualty_carries,Casualty carries,practice,Global,,military_tactical:contains
catch_wrestling,Catch wrestling,practice,Global,,combat_grappling:contains
cattle_driving,Cattle driving,practice,Global,,occupational_agri:contains
cave_diving_propulsion,Cave diving propulsion,practice,Global,,aquatic_dive:contains
caving,Caving,practice,Global,,outdoor_wilderness:contains
ceilidh_dancing,Ceilidh dancing,practice,Europe,,dance_europe_folk:contains
ceremonial_drill,Ceremonial drill,practice,Global,,military_drill:contains
cha_cha_cha,Cha-cha-cha,practice,Global,,dance_ballroom:contains
chair_yoga,Chair yoga,practice,South Asia / global,,somatics_yoga:contains
charreria,Charrería,practice,Global,,animal_equestrian:contains
chase_tag,Chase tag,practice,Global,,locomotion_parkour:contains
cheerleading,Cheerleading,practice,Global,,acro_gymnastics:contains | dance_stage:cross-link | sport_ball_team:cross-link
cheese_rolling,Cheese rolling,practice,Global,,sport_traditional:contains
chhau,Chhau,practice,South Asia,,dance_south_asia:contains | combat_regional:cross-link | performance_theatre:cross-link
chicago_footwork,Chicago footwork,practice,Global urban,,dance_urban:contains
chinese_classical_dance,Chinese classical dance,practice,East Asia,,dance_east_asia:contains
chinese_fan_dance,Chinese fan dance,practice,East Asia,,dance_east_asia:contains
chinese_opera_movement,Chinese opera movement,practice,Global,,performance_theatre:contains
chinese_pole,Chinese pole,practice,Global,,acro_circus:contains
chinese_ribbon_dance,Chinese ribbon dance,practice,East Asia,,dance_east_asia:contains
chinese_sword_arts,Chinese sword arts,practice,Global,,combat_weapon:contains
chinlone,Chinlone,practice,Global,,sport_traditional:contains
chiropractic_rehabilitation_exercise,Chiropractic rehabilitation exercise,practice,Global,,healing_bodywork:contains
choi_kwang_do,Choi Kwang-Do,practice,Global,,combat_regional:contains
chovqan,Chovqan,practice,Global,,sport_traditional:contains
choy_li_fut,Choy Li Fut,practice,Global,,combat_regional:contains
christian_pilgrimage_walking,Christian pilgrimage walking,practice,Global,,ritual_devotional:contains
circuit_training,Circuit training,practice,Global,,fitness_endurance:contains
clapping_games,Clapping games,practice,Global,,play_child:contains
classical_pilates,Classical Pilates,practice,Global,,somatics_pilates:contains
cliff_diving,Cliff diving,practice,Global,,aquatic_dive:contains
cliff_jumping,Cliff jumping,practice,Global,,outdoor_air:contains
clinical_pilates,Clinical Pilates,practice,Global,,somatics_pilates:contains
close_order_drill,Close-order drill,practice,Global,,military_drill:contains
cloud_swing,Cloud swing,practice,Global,,acro_circus:contains
clowning,Clowning,practice,Global urban,,dance_urban:contains
clowning_2,Clowning,practice,Global,,performance_theatre:contains
club_juggling,Club juggling,practice,Global,,acro_object:contains
club_swinging,Club swinging,practice,Global,,fitness_resistance:contains
coastal_rowing,Coastal rowing,practice,Global,,aquatic_boats:contains
collegiate_wrestling,Collegiate wrestling,practice,Global,,combat_grappling:contains
color_guard,Color guard,practice,Global,,military_drill:contains
combat,"Combat, martial & weapon cultures",domain,,,movement:contains
combat_grappling,Grappling & wrestling systems,family,Global,,combat:contains
combat_hybrid,"Hybrid, tactical & modern self-defence",family,Global,,combat:contains
combat_internal,Internal & soft martial arts,family,Eurasia,,combat:contains
combat_regional,Regional traditional martial systems,family,Global,,combat:contains
combat_sambo,Combat sambo,practice,Global,,combat_hybrid:contains
combat_sidestroke,Combat sidestroke,practice,Global,,aquatic_swim:contains
combat_striking,Striking systems,family,Global,,combat:contains
combat_weapon,Weapon martial arts,family,Global,,combat:contains
combatives,Combatives,practice,Global,,combat_hybrid:contains
commedia_dellarte_movement,Commedia dell’arte movement,practice,Global,,performance_theatre:contains
commercial_choreography,Commercial choreography,practice,Global urban,,dance_urban:contains
concheros,Concheros,practice,Americas,,dance_indigenous_americas:contains
constraint_led_movement_games,Constraint-led movement games,practice,Global,,play_improv:contains
contact_improvisation,Contact improvisation,practice,Global,,dance_stage:contains | somatics_western:cross-link | play_improv:cross-link
contact_improvisation_2,Contact improvisation,practice,Global,,play_improv:contains | somatics_western:cross-link | play_improv:cross-link
contact_juggling,Contact juggling,practice,Global,,acro_object:contains
contemporary_dance,Contemporary dance,practice,Global,,dance_stage:contains
contemporary_pilates,Contemporary Pilates,practice,Global,,somatics_pilates:contains
continuum_movement,Continuum Movement,practice,Western / global,,somatics_western:contains
contortion,Contortion,practice,Global,,acro_circus:contains
coracle_paddling,Coracle paddling,practice,Global,,aquatic_boats:contains
cornish_wrestling,Cornish wrestling,practice,Global,,combat_grappling:contains
creative_movement_for_children,Creative movement for children,practice,Global,,education_methods:contains
cricket,Cricket,practice,Global,,sport_bat_ball:contains
croquet,Croquet,practice,Global,,sport_precision:contains
cross_country_running,Cross-country running,practice,Global,,sport_athletics:contains
cross_country_skiing,Cross-country skiing,practice,Cold climates,,sport_winter:contains
crossfit,CrossFit,practice,Global,,fitness_group:contains
csardas,Csárdás,practice,Europe,,dance_europe_folk:contains
curling,Curling,practice,Global,,sport_precision:contains
cutting,Cutting,practice,Global,,animal_equestrian:contains
cyclocross,Cyclocross,practice,Global,,sport_wheeled:contains
cyr_wheel,Cyr wheel,practice,Global,,acro_circus:contains
dabke,Dabke,practice,Middle East / North Africa,,dance_middle_east:contains
dabke_influenced_north_african_social_dance,Dabke-influenced North African social dance,practice,Africa,,dance_african:contains
daito_ryu_aiki_jujutsu,Daito-ryu aiki-jujutsu,practice,Eurasia,,combat_internal:contains
dalcroze_eurhythmics,Dalcroze eurhythmics,practice,Global,,education_methods:contains
dambe,Dambe,practice,Global,,combat_striking:contains
dance,Dance & rhythmic movement,domain,,,movement:contains
dance_african,African dance families,family,Africa,,dance:contains
dance_afrodiasporic,African-diasporic dance cultures,family,African diaspora,,dance:contains
dance_ballroom,Ballroom & partner social dance,family,Global,,dance:contains
dance_dance_revolution,Dance Dance Revolution,practice,Global,,digital_exergaming:contains
dance_east_asia,East Asian dance traditions,family,East Asia,,dance:contains
dance_education,Dance education,practice,Global,,education_methods:contains
dance_europe_folk,European folk & social dances,family,Europe,,dance:contains
dance_fitness,Dance fitness,practice,Global,,fitness_endurance:contains
dance_improvisation,Dance improvisation,practice,Global,,play_improv:contains
dance_indigenous_americas,Indigenous dances of the Americas,family,Americas,,dance:contains
dance_middle_east,Middle Eastern & North African dance,family,Middle East / North Africa,,dance:contains
dance_movement_therapy,Dance/movement therapy,practice,Global,,healing_adaptive:contains | dance_stage:cross-link | somatics_western:cross-link
dance_pacific,Pacific dance traditions,family,Pacific,,dance:contains
dance_se_asia,Southeast Asian dance traditions,family,Southeast Asia,,dance:contains
dance_south_asia,South Asian dance traditions,family,South Asia,,dance:contains
dance_stage,"Stage, concert & contemporary dance",family,Global,,dance:contains
dance_urban,"Street, club & urban dance",family,Global urban,,dance:contains
dancehall,Dancehall,practice,African diaspora,,dance_afrodiasporic:contains
danza_de_los_voladores_movement,Danza de los Voladores movement,practice,Americas,,dance_indigenous_americas:contains
daoyin,Daoyin,practice,China / global,,somatics_chinese:contains
darts,Darts,practice,Global,,sport_precision:contains
debka,Debka,practice,Middle East / North Africa,,dance_middle_east:contains
decathlon,Decathlon,practice,Global,,sport_athletics:contains
defendo,Defendo,practice,Global,,combat_hybrid:contains
dembow_dance,Dembow dance,practice,African diaspora,,dance_afrodiasporic:contains
dervish_sema,Dervish sema,practice,Middle East / North Africa,,dance_middle_east:contains
devil_sticks,Devil sticks,practice,Global,,acro_object:contains
diabolo,Diabolo,practice,Global,,acro_object:contains
digital,"Digital, mediated & emerging movement cultures",domain,,,movement:contains
digital_exergaming,Exergaming & mediated movement,family,Global,,digital:contains
digital_robotics,Human–technology movement cultures,family,Global,,digital:contains
dimensions,Cross-cutting dimensions,dimension_group,,,movement:classifies
disc_golf,Disc golf,practice,Global,,sport_precision:contains
discus_throw,Discus throw,practice,Global,,sport_athletics:contains
dns_dynamic_neuromuscular_stabilization,DNS / Dynamic Neuromuscular Stabilization,practice,Global,,healing_rehab:contains
dog_agility_handling,Dog agility handling,practice,Global,,animal_other:contains
dragon_boat,Dragon boat,practice,Global,,aquatic_boats:contains
dragon_dance,Dragon dance,practice,Global,,ritual_procession:contains | acro_gymnastics:cross-link | performance_theatre:cross-link
dressage,Dressage,practice,Global,,animal_equestrian:contains
drone_racing_piloting_gestures,Drone racing piloting gestures,practice,Global,,digital_robotics:contains
duathlon,Duathlon,practice,Global,,sport_multisport:contains
duck_duck_goose,Duck duck goose,practice,Global,,play_child:contains
dumbbell_training,Dumbbell training,practice,Global,,fitness_resistance:contains
dutch_kickboxing,Dutch kickboxing,practice,Global,,combat_striking:contains
east_coast_swing,East Coast Swing,practice,Global,,dance_ballroom:contains
ecstatic_dance,Ecstatic dance,practice,Global,,play_improv:contains
education,Movement education & pedagogy,domain,,,movement:contains
education_methods,Movement education systems,family,Global,,education:contains
electro_dance,Electro dance,practice,Global urban,,dance_urban:contains
elementary_backstroke,Elementary backstroke,practice,Global,,aquatic_swim:contains
elephant_mahout_movement,Elephant mahout movement,practice,Global,,animal_other:contains
endurance_riding,Endurance riding,practice,Global,,animal_equestrian:contains
english_country_dance,English country dance,practice,Europe,,dance_europe_folk:contains
env_air,Air,dimension,,,dimensions:contains
env_land,Land,dimension,,,dimensions:contains | locomotion:characterized-by
env_snowice,Snow/ice,dimension,,,dimensions:contains
env_urban,Urban/built environment,dimension,,,dimensions:contains
env_water,Water,dimension,,,dimensions:contains | aquatic:characterized-by
env_wilderness,Wilderness,dimension,,,dimensions:contains | outdoor:characterized-by
eskista,Eskista,practice,Africa,,dance_african:contains
esports_embodied_ergonomics,Esports embodied ergonomics,practice,Global,,digital_robotics:contains
eutony,Eutony,practice,Western / global,,somatics_western:contains
eventing,Eventing,practice,Global,,animal_equestrian:contains
exoskeleton_assisted_gait,Exoskeleton-assisted gait,practice,Global,,digital_robotics:contains
expressionist_dance,Expressionist dance,practice,Global,,dance_stage:contains
f45_style_functional_training,F45-style functional training,practice,Global,,fitness_group:contains
falconry_field_movement,Falconry field movement,practice,Global,,animal_other:contains
fancy_dance,Fancy dance,practice,Americas,,dance_indigenous_americas:contains
farandole,Farandole,practice,Europe,,dance_europe_folk:contains
fast_roping,Fast-roping,practice,Global,,military_tactical:contains
fastpacking,Fastpacking,practice,Global,,outdoor_wilderness:contains
feldenkrais_method,Feldenkrais Method,practice,Western / global,,somatics_western:contains
fell_running,Fell running,practice,Global,,locomotion_bipedal:contains
fencing,Fencing,practice,Global,,combat_weapon:contains
field_hockey,Field hockey,practice,Global,,sport_ball_team:contains
fierljeppen,Fierljeppen,practice,Global,,sport_traditional:contains
figure_skating,Figure skating,practice,Cold climates,,sport_winter:contains | dance_stage:cross-link
fin_swimming,Fin swimming,practice,Global,,aquatic_swim:contains
fire_and_movement,Fire-and-movement,practice,Global,,military_tactical:contains
firefighter_movement_training,Firefighter movement training,practice,Global,,military_service:contains
fitness,"Physical culture, conditioning & exercise",domain,,,movement:contains
fitness_endurance,Endurance & conditioning methods,family,Global,,fitness:contains
fitness_group,Group fitness systems,family,Global,,fitness:contains
fitness_natural,Natural movement & generalist systems,family,Global,,fitness:contains
fitness_resistance,Resistance training cultures,family,Global,,fitness:contains
five_rhythms,Five Rhythms,practice,Global,,play_improv:contains
flamenco,Flamenco,practice,Europe,,dance_europe_folk:contains
flexing,Flexing,practice,Global urban,,dance_urban:contains
floor_sitting_cultures,Floor sitting cultures,practice,Global,,occupational_domestic:contains
fly_casting,Fly casting,practice,Global,,occupational_hunt:contains
flying_trapeze,Flying trapeze,practice,Global,,acro_circus:contains
folk_polka,Folk polka,practice,Europe,,dance_europe_folk:contains
footbag_freestyle,Footbag freestyle,practice,Global,,acro_object:contains
footvolley,Footvolley,practice,Global,,sport_net_wall:contains
foraging_movement,Foraging movement,practice,Global,,outdoor_wilderness:contains
foraging_squat_and_carry,Foraging squat-and-carry,practice,Global,,occupational_hunt:contains
four_square,Four square,practice,Global,,play_child:contains
foxtrot,Foxtrot,practice,Global,,dance_ballroom:contains
franklin_method,Franklin Method,practice,Western / global,,somatics_western:contains
free_diving_breath_preparation,Free-diving breath preparation,practice,Global,,somatics_breath:contains
free_solo_climbing,Free solo climbing,practice,Global,,locomotion_climbing:contains
freediving,Freediving,practice,Global,,aquatic_dive:contains
freerunning,Freerunning,practice,Global,,locomotion_parkour:contains | acro_gymnastics:cross-link | fitness_natural:cross-link
freestyle_skiing,Freestyle skiing,practice,Cold climates,,sport_winter:contains
freestyle_wrestling,Freestyle wrestling,practice,Global,,combat_grappling:contains
front_crawl,Front crawl,practice,Global,,aquatic_swim:contains
frontenis,Frontenis,practice,Global,,sport_net_wall:contains
fruit_picking,Fruit picking,practice,Global,,occupational_agri:contains
functional_range_conditioning,Functional Range Conditioning,practice,Global,,fitness_natural:contains
fundamental_movement_skills,Fundamental movement skills,practice,Global,,education_methods:contains
futsal,Futsal,practice,Global,,sport_ball_team:contains
ga_ga_ball,Ga-ga ball,practice,Global,,sport_traditional:contains
gaelic_football,Gaelic football,practice,Global,,sport_ball_team:contains
gait_retraining,Gait retraining,practice,Global,,healing_rehab:contains
garba,Garba,practice,South Asia,,dance_south_asia:contains
gardening,Gardening,practice,Global,,occupational_domestic:contains
gatka,Gatka,practice,Global,,combat_weapon:contains
gavotte,Gavotte,practice,Europe,,dance_europe_folk:contains
georges_hebert_natural_method,Georges Hébert natural method,practice,Global,,fitness_natural:contains
german_wheel,German wheel,practice,Global,,acro_circus:contains
ghawazi,Ghawazi,practice,Middle East / North Africa,,dance_middle_east:contains
ghoomar,Ghoomar,practice,South Asia,,dance_south_asia:contains
ghost_dance_historical_tradition,Ghost Dance historical tradition,practice,Global,,ritual_trance:contains
glima,Glíma,practice,Global,,combat_grappling:contains
gmb_fitness,GMB Fitness,practice,Global,,fitness_natural:contains
gnawa_lila_movement,Gnawa lila movement,practice,Global,,ritual_trance:contains
goal_art,Art/performance,dimension,,,dimensions:contains | dance:characterized-by | performance:characterized-by | acrobatics:characterized-by
goal_health,Health/therapy,dimension,,,dimensions:contains | fitness:characterized-by | somatics:characterized-by | healing:characterized-by | education:characterized-by
goal_play,Play/recreation,dimension,,,dimensions:contains | sport:characterized-by | play:characterized-by
goal_spiritual,Spiritual/devotional,dimension,,,dimensions:contains | ritual:characterized-by
goal_survival,Subsistence/survival,dimension,,,dimensions:contains | outdoor:characterized-by | occupational:characterized-by | military:characterized-by
goal_transport,Transport/locomotion,dimension,,,dimensions:contains | locomotion:characterized-by | animal:characterized-by
goalball,Goalball,practice,Global,,healing_adaptive:contains
golf,Golf,practice,Global,,sport_precision:contains
gondolier_rowing,Gondolier rowing,practice,Global,,aquatic_boats:contains
grass_dance,Grass dance,practice,Americas,,dance_indigenous_americas:contains
greco_roman_wrestling,Greco-Roman wrestling,practice,Global,,combat_grappling:contains
greek_hasapiko,Greek hasapiko,practice,Europe,,dance_europe_folk:contains
greek_kalamatianos,Greek kalamatianos,practice,Europe,,dance_europe_folk:contains
grinding_grain,Grinding grain,practice,Global,,occupational_domestic:contains
grip_sport,Grip sport,practice,Global,,sport_strength:contains
grotowski_physical_training,Grotowski physical training,practice,Global,,performance_theatre:contains
ground_based_movement_practice,Ground-based movement practice,practice,Global,,fitness_natural:contains
gumboot_dance,Gumboot dance,practice,Africa,,dance_african:contains
gwoka,Gwoka,practice,African diaspora,,dance_afrodiasporic:contains
gymnastics_strength_training,Gymnastics strength training,practice,Global,,fitness_resistance:contains
haitian_folkloric_dance,Haitian folkloric dance,practice,African diaspora,,dance_afrodiasporic:contains
haka,Haka,practice,Pacific,,dance_pacific:contains
hammer_throw,Hammer throw,practice,Global,,sport_athletics:contains
hammering_movement,Hammering movement,practice,Global,,occupational_craft:contains
hand_balancing,Hand balancing,practice,Global,,acro_circus:contains
hand_puppetry,Hand puppetry,practice,Global,,performance_puppetry:contains
hand_washing_clothes,Hand washing clothes,practice,Global,,occupational_domestic:contains
hand_weaving_movement,Hand weaving movement,practice,Global,,occupational_craft:contains
handball,Handball,practice,Global,,sport_ball_team:contains
handball_playground_games,Handball playground games,practice,Global,,play_child:contains
hang_gliding,Hang gliding,practice,Global,,outdoor_air:contains
hanna_somatics,Hanna Somatics,practice,Western / global,,somatics_western:contains
hapkido,Hapkido,practice,Eurasia,,combat_internal:contains
harpoon_throwing,Harpoon throwing,practice,Global,,occupational_hunt:contains
harvest_carrying,Harvest carrying,practice,Global,,occupational_agri:contains
hatha_yoga,Hatha yoga,practice,South Asia / global,,somatics_yoga:contains
head_loading,Head-loading,practice,Global,,occupational_domestic:contains
healing,"Therapeutic, rehabilitative & adaptive movement",domain,,,movement:contains
healing_adaptive,Adaptive & disability movement cultures,family,Global,,healing:contains
healing_bodywork,Movement-integrated bodywork,family,Global,,healing:contains
healing_rehab,Rehabilitation movement disciplines,family,Global,,healing:contains
health_taijiquan,Health taijiquan,practice,China / global,,somatics_chinese:contains
