"ID","Name","Catalog practice","Direct DAG nodes","Mapping specificity","Primary domains","All-path domains","Primary families","All-path families","Added in this pass"
"93","Capoeira Esquiva Lateral","Capoeira","capoeira","Practice","combat","acrobatics;combat;dance;play;ritual","combat_regional","acro_gymnastics;combat_regional;dance_afrodiasporic;play_improv;ritual_procession","False"
"94","Lateral Weight Shift","Standing balance training","fitness","Domain","fitness","fitness","","","False"
"95","Single-Leg Pelvic Control","Single-leg balance training","fitness","Domain","fitness","fitness","","","False"
"96","Dynamic Figure-Four Squat Balance","Balance training","fitness","Domain","fitness","fitness","","","False"
"97","Standing Side-Kick Reach","Balance training","fitness","Domain","fitness","fitness","","","False"
"98","Shibashi Side Shift with Overhead Scoop","Taiji Qigong Shibashi","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"99","Bent-Knee Front-to-Back Leg Swing","Dynamic leg mobility","fitness","Domain","fitness","fitness","","","False"
"100","Bent-Knee Leg Swing with Pause","Dynamic balance training","fitness","Domain","fitness","fitness","","","False"
"101","Bodyweight Squat","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"102","Squat with Overhead Arm Sweep","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"103","Wide Squat Pulse","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"104","Sumo Squat","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"105","Wide Turned-Out Squat","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"107","Wide Plie Squats","Ballet conditioning","ballet","Practice","dance","dance","dance_stage","dance_stage","False"
"108","Second-Position Plié with Arm Sweep","Ballet","ballet","Practice","dance","dance","dance_stage","dance_stage","False"
"109","One-and-a-Half Sumo Squat","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"110","Squat Pulse","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"111","Rainbow Squat Thruster","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"112","Wide Squat with Overhead Reach","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"113","Bodyweight Overhead Squat","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"114","Hindu Squat","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"115","Pistol Squat","Calisthenics","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"116","Alternating Cossack Squat","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"117","Side-Lunge Hold","Bodyweight isometrics","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"118","Squat to Knee Drive","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"119","Tiptoe Walk","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"120","Split Squat Pulse","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"121","Alternating Forward Lunge","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"122","Alternating Reverse Lunge","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"123","Lateral Lunge","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"124","Alternating Curtsy Lunge with Side Crunch","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"125","Alternating Reverse Lunge with Torso Twist","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"126","Squat to Alternating Side Kick","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"127","Alternating Lunge with Overhead Stretch","Stretching","fitness","Domain","fitness","fitness","","","False"
"128","Alternating Curtsy Squat with Arm Sweep","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"129","Squat to Alternating Front Kick","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"130","Squat to Alternating Side Leg Lift","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"131","Squat to Alternating Back Leg Lift","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"132","Squat to Alternating Oblique Crunch","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"133","Alternating Lateral Lunge with Overhead Reach","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"135","Overhead Squat Hold","Bodyweight isometrics","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"136","Wide Turned-Out Squat Hold","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"138","Narrow-Squat Heel Raise","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"139","Wide-Squat Alternating Heel Raises","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"140","Sumo-Squat Calf Raise","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"141","Squat with Alternating Heel Lift","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"142","Lateral Squat Walk","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"143","Reverse Lunge to Front Kick","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"144","Alternating Standing Knee Lift","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"145","Standing Knee-Extension Hold","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"146","Bodyweight Good Morning","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"147","Squat to Alternating Star Reach","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"148","Straight-Leg Hip-Extension Lift","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"150","Wide-Squat Side-to-Side Shifts","Standing strength and mobility","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"151","Alternating Straight-Leg Front Raise","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"152","Side-Leg Raise Pulse","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"154","Diagonal Leg Raise","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"156","Alternating Curtsy-Lunge-to-Squat","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"159","Standing Hamstring Curl to Diagonal Extension","Standing strength and balance","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"160","Standing Donkey Kick","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"161","Alternating Standing Gate Opener","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"167","High-Knee March","Running drills","running","Practice","locomotion","locomotion","locomotion_bipedal","locomotion_bipedal","True"
"168","Toy Soldier March","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"169","High-Knee Pulldown March","Low-impact conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"170","Alternating Cross-Body Knee Drive","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"171","Alternating Hamstring Sweep","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"173","Alternating Side Knee Lift","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"174","Alternating Front Kick Toe Touch","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"176","Shibashi Squat with Diagonal Torso Turn","Taiji Qigong Shibashi","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"177","Standing Hip Airplane","Hip stability training","fitness_resistance","Family","fitness","fitness","fitness_resistance","fitness_resistance","False"
"178","Crescent Kick","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"179","Hip-Hinge Rear-Leg Raises","Standing posterior-chain conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"180","Standing Front Snap Kicks","Karate","karate","Practice","combat","combat","combat_striking","combat_striking","False"
"181","Karate Side Thrust Kick","Karate","karate","Practice","combat","combat","combat_striking","combat_striking","False"
"182","Capoeira Armada de Frente","Capoeira","capoeira","Practice","combat","acrobatics;combat;dance;play;ritual","combat_regional","acro_gymnastics;combat_regional;dance_afrodiasporic;play_improv;ritual_procession","False"
"183","Capoeira Queixada","Capoeira","capoeira","Practice","combat","acrobatics;combat;dance;play;ritual","combat_regional","acro_gymnastics;combat_regional;dance_afrodiasporic;play_improv;ritual_procession","False"
"184","Split-Squat Hold","Bodyweight isometrics","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"185","Shibashi Side-to-Side Cloud Hands","Taiji Qigong Shibashi","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"186","Hip-Airplane Hold","Hip stability training","fitness_resistance","Family","fitness","fitness","fitness_resistance","fitness_resistance","False"
"187","Standing Heel-and-Toe Raises","Calf and ankle strengthening","fitness_resistance","Family","fitness","fitness","fitness_resistance","fitness_resistance","False"
"188","Narrow Turned-Out Shallow Squat","Ballet","ballet","Practice","dance","dance","dance_stage","dance_stage","False"
"190","Ballet Grand Plie","Ballet","ballet","Practice","dance","dance","dance_stage","dance_stage","False"
"191","Unsupported Standing Toe Raises","Foot and ankle strengthening","fitness_resistance","Family","fitness","fitness","fitness_resistance","fitness_resistance","False"
"192","Alternating Lateral Lunge with Knee Drive","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"193","Wide-Squat Floor-to-Overhead Reach","Standing mobility","fitness","Domain","fitness","fitness","","","False"
"194","Heel Walks","Gait retraining","gait_retraining","Practice","healing","healing","healing_rehab","healing_rehab","False"
"195","Side Lunge to Knee-Up Balance","Balance training","fitness","Domain","fitness","fitness","","","False"
"196","B-Stance Squat","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"197","Parallel Squat-to-Calf Raise","Ballet","ballet","Practice","dance","dance","dance_stage","dance_stage","False"
"198","Wide Squat to Feet-Together Calf Raise","Ballet","ballet","Practice","dance","dance","dance_stage","dance_stage","False"
"199","Wide-Stance Side-to-Side Squat","Bodyweight strength","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"200","Good Morning to Squat","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"201","Wide-Stance Tiptoe Hold","Calf isometrics","fitness_resistance","Family","fitness","fitness","fitness_resistance","fitness_resistance","False"
"203","Shibashi Split-Stance Wing Open","Taiji Qigong Shibashi","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"211","Bent-Elbow Wrist-Flexion Stretch","Wrist stretching","fitness","Domain","fitness","fitness","","","False"
"212","Unsupported Sissy Squat","Bodyweight strength","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"213","Bent-Elbow Wrist-Extension Stretch","Wrist stretching","fitness","Domain","fitness","fitness","","","False"
"214","Inward Wrist Circles","Hand mobility","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"215","Forearm Pronation-Supination Flow","Forearm mobility","fitness","Domain","fitness","fitness","","","False"
"216","Interlaced-Finger Palm-Out Stretch","Standing hand and wrist stretching","fitness","Domain","fitness","fitness","","","False"
"217","Tree Pose Hold","Yoga","somatics_yoga","Family","somatics","somatics","somatics_yoga","somatics_yoga","False"
"218","Sequential Finger Waves","Hand coordination","neuromotor_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"219","Alternating High-Knee Cross-Body Pull","Low-impact conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"220","Karate Rising Block","Karate","karate","Practice","combat","combat","combat_striking","combat_striking","False"
"223","Inward Controlled Wrist Circles","Wrist mobility","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"224","Qigong Interlaced Wrist Rolls","Qigong","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"225","Opposite-Hand Fist-Down Wrist Stretch","Wrist mobility","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"227","Rotating Relaxed Arm Swings","Qigong shoulder mobility","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"228","Bent-Elbow External Rotation","Shoulder rehabilitation","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"230","Prayer Press Raise","Standing upper-body conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"231","Karate Reverse Punch","Karate conditioning","karate","Practice","combat","combat","combat_striking","combat_striking","False"
"232","Extended Side Angle Hold","Yoga","somatics_yoga","Family","somatics","somatics","somatics_yoga","somatics_yoga","False"
"233","Standing Wrist Flexion Stretch","Standing hand and wrist stretching","fitness","Domain","fitness","fitness","","","False"
"234","Straight Fingers to Knuckle Bend","Hand and forearm mobility","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"236","Bilateral Wrist Figure Eights","Wrist mobility","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"237","Sequential Finger Curl Waves","Hand coordination","neuromotor_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"238","Prayer-Hand Stretch","Stretching","fitness","Domain","fitness","fitness","","","False"
"239","Tabletop Tendon Glide","Hand therapy","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"240","Hook Fingers to Full Fist","Hand therapy tendon gliding","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"241","Open Hand to Hook Fist","Hand therapy","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"242","Open Hand to Full Fist","Hand therapy","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"245","Straight-Punch to Shovel-Hook Combo","Boxing","boxing","Practice","combat","combat","combat_striking","combat_striking","False"
"246","Bodyweight Cuban Rotation","Shoulder mobility and conditioning","fitness","Domain","fitness","fitness","","","False"
"248","Side-Tap Palm Pushes","Low-impact conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"251","Forward Fold to Overhead Reach","Standing mobility","fitness","Domain","fitness","fitness","","","False"
"252","Internally Rotated Double Calf Raise","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"253","Parallel Double Calf Raise","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"254","Turned-Out Double Calf Raise","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"255","Deep-Squat Calf Raise","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"256","Overhead Side-Stretch Hold","Standing stretching","fitness","Domain","fitness","fitness","","","False"
"257","Finger Spread to Interlace Stretch","Hand mobility","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"258","Karate Downward Block","Karate","karate","Practice","combat","combat","combat_striking","combat_striking","False"
"260","Dancer Pose Hold","Yoga","somatics_yoga","Family","somatics","somatics","somatics_yoga","somatics_yoga","False"
"261","Standing Bent-Elbow Reverse Fly","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"262","Standing Bicycle Crunches","Standing core conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"263","Bent-Over Straight-Arm Pressback Hold","Standing isometrics","fitness_resistance","Family","fitness","fitness","fitness_resistance","fitness_resistance","False"
"264","Standing Arm Circles","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"265","Standing Speed-Bag Punches","Boxing conditioning","boxing","Practice","combat","combat","combat_striking","combat_striking","False"
"266","T-Arm Shoulder Hold","Shoulder isometrics","fitness_resistance","Family","fitness","fitness","fitness_resistance","fitness_resistance","False"
"267","Standing Calf-Raise Hold","Calf isometrics","fitness_resistance","Family","fitness","fitness","fitness_resistance","fitness_resistance","False"
"268","Goalpost-to-T Rotations","Standing shoulder mobility","fitness","Domain","fitness","fitness","","","False"
"269","Standing Leg-Resistance Biceps Curl","Standing strength and balance","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"270","Goalpost Chest-Opener Hold","Standing stretching","fitness","Domain","fitness","fitness","","","False"
"271","Standing Lumbar Extension","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"272","Unsupported Single-Leg Bent-Knee Calf Raise","Calf strengthening","fitness_resistance","Family","fitness","fitness","fitness_resistance","fitness_resistance","False"
"273","Bent-Knee Calf-Raise Hold","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"274","Alternating Boxing Uppercuts","Boxing","boxing","Practice","combat","combat","combat_striking","combat_striking","False"
"275","Small Arm Circles","Shoulder endurance","fitness_resistance","Family","fitness","fitness","fitness_resistance","fitness_resistance","False"
"276","Muay Thai Upward Elbow Strike","Muay Thai","muay_thai","Practice","combat","combat","combat_striking","combat_striking","False"
"277","Standing Elbow-to-Elbow Chest Squeeze","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"278","Staggered-Stance Straight Punch","Boxing conditioning","boxing","Practice","combat","combat","combat_striking","combat_striking","False"
"279","Staggered-Stance Jab-Cross","Karate conditioning","karate","Practice","combat","combat","combat_striking","combat_striking","False"
"280","Alternating Boxing Hook Punches","Boxing","boxing","Practice","combat","combat","combat_striking","combat_striking","False"
"281","Alternating Overhead Punch","Standing bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"282","Side-Step Knee Drive with Alternating Side Punches","Low-impact boxing conditioning","boxing;fitness_endurance","Practice","combat;fitness","combat;fitness","combat_striking;fitness_endurance","combat_striking;fitness_endurance","False"
"283","Open Hand to Straight Fist","Hand therapy","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"284","Side-to-Side Ankle Rocks","Standing bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"285","Karate Inside Block","Karate","karate","Practice","combat","combat","combat_striking","combat_striking","False"
"286","Karate Outside Block","Karate","karate","Practice","combat","combat","combat_striking","combat_striking","False"
"287","Standing Uppercuts","Boxing conditioning","boxing","Practice","combat","combat","combat_striking","combat_striking","False"
"288","Forward Knee-and-Ankle Circles","Standing bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"289","Fingertip Spider Presses","Hand conditioning","fitness_resistance","Family","fitness","fitness","fitness_resistance","fitness_resistance","False"
"290","Low Palm Scoop to Side Opening","Hand therapy and mobility","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"291","Open Hand to Claw Fist","Hand therapy","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"292","Standing Bird Dog","Balance training","fitness","Domain","fitness","fitness","","","False"
"293","Opposite-Hand Finger-Web Stretches","Active isolated stretching","fitness","Domain","fitness","fitness","","","False"
"294","Five-Position Tendon Glide","Hand therapy","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"295","Ankle Squat March","Standing bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"296","Single-Leg Sprinter March","Standing bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"301","Overhead Arm Pumps","Shoulder endurance","fitness_resistance","Family","fitness","fitness","fitness_resistance","fitness_resistance","False"
"303","Alternating Arm-Circle Squat with Cross Tap","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"311","Low-Impact Standing Jack","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"314","Alternating Forward Lunge Pulses","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"315","Side-Step Squat with Overhead Reach","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"321","Side-Tap Alternating Arm Raises","Low-impact conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"326","Rear-Hand Straight Punch","Boxing conditioning","boxing","Practice","combat","combat","combat_striking","combat_striking","False"
"327","Muay Thai Horizontal Elbow Strike","Muay Thai","muay_thai","Practice","combat","combat","combat_striking","combat_striking","False"
"329","Standing Shoulder CAR","Shoulder mobility","fitness","Domain","fitness","fitness","","","False"
"338","Overhead Triceps Stretch with Side Bend","Stretching","fitness","Domain","fitness","fitness","","","False"
"340","Low-Impact Jack with Alternating Punches","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"341","Squat with Alternating Straight Punches","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"367","Single-Leg Bodyweight Deadlift","Standing bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"377","Qigong Lifting the Sky","Qigong","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"379","Alternating Qigong Drawing the Bow","Qigong","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"389","First-Position Heel Raise with Elbow Pull-Down","Ballet","ballet","Practice","dance","dance","dance_stage","dance_stage","False"
"390","Inhale Arms Up, Exhale Step-Touch","Breath-led mobility","breathwork_mobility_flows","Practice","somatics","somatics","somatics_breath","somatics_breath","False"
"391","Inhale Arms Open, Exhale High-Knee","Breath-led conditioning","breathwork_mobility_flows","Practice","somatics","somatics","somatics_breath","somatics_breath","False"
"392","Exhale-Down Inhale-Up Breathing Squat","Breathwork","somatics_breath","Family","somatics","somatics","somatics_breath","somatics_breath","False"
"393","Single-Leg Deadlift to Runner March","Standing bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"394","Inhale Open, Exhale Cross-Body Knee","Breath-led conditioning","breathwork_mobility_flows","Practice","somatics","somatics","somatics_breath","somatics_breath","False"
"395","Single-Side Inhale Reach Up, Exhale Knee Lift","Breath-led mobility","breathwork_mobility_flows","Practice","somatics","somatics","somatics_breath","somatics_breath","False"
"396","Single-Leg Knee-Lift Balance Hold","Standing balance","fitness","Domain","fitness","fitness","","","False"
"397","Inhale Open, Exhale Cross-Body Side Tap","Breath-led mobility","breathwork_mobility_flows","Practice","somatics","somatics","somatics_breath","somatics_breath","False"
"398","Inhale Arms Open, Exhale Self-Hug and Fold","Breathwork","somatics_breath","Family","somatics","somatics","somatics_breath","somatics_breath","False"
"399","Inhale Chest Open, Exhale Arms Close with Shallow Squat","Qigong","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"400","Inhale Rise and Lift Arms, Exhale Squat and Sweep Down","Qigong","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"401","Alternating Inhale-Twist, Exhale-Push","Qigong","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"402","Shallow Squat with Rowing Arm Circle","Qigong","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"403","Alternating Weight Shift with Palm Push","Qigong","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"404","Wide-Stance Alternating Slow Punch","Qigong","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"405","Shallow Squat with Wing Arm Raise","Qigong","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"406","Standing Wheel Arm Circles","Qigong","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"407","Inhale-Up, Exhale-Down Arm Circles","Breath-led mobility","breathwork_mobility_flows","Practice","somatics","somatics","somatics_breath","somatics_breath","False"
"408","Split-Squat Torso Rotation with Thumb Tracking","Balance and gaze-control mobility","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"409","Full Neck Circles","Functional Range Conditioning","functional_range_conditioning","Practice","fitness","fitness","fitness_natural","fitness_natural","False"
